FolioSolicitud,Cliente_Name,Location_Name
10093,Comcast,TPMXN Hacienda
10094,Chime Bank,TPMXN Cuauhtemoc
10095,Western Union,TPMXN Sierra
10096,Chime Bank,TPMXN Cuauhtemoc
10096,Chime Bank,TPMXN Cuauhtemoc
10097,Western Union,TPMXN Talavera
10098,GrubHub,TPMXN Saguaro
10099,GrubHub,TPMXN Saguaro
10100,Chime Bank,TPMXN Cuauhtemoc
10101,GM Financial,TPMXN Universidad
10102,Chime Bank,TPMXN Cuauhtemoc
10103,Western Union,TPMXN Sierra
10104,GM Financial,TPMXN Universidad
10105,Alliance Data,TPMXN Nova
10106,Western Union,TPMXN Sierra
10107,GrubHub,TPMXN Saguaro
10108,GrubHub,TPMXN Saguaro
10109,Alliance Data,TPMXN Nova
10110,Alliance Data,TPMXN Nova
10111,GrubHub,TPMXN Saguaro
10112,Comcast,TPMXN Hacienda
10113,Comcast,TPMXN Alpha
10114,Comcast,TPMXN Hacienda
10115,Western Union,TPMXN Talavera
10116,Western Union,TPMXN Sierra
10117,Western Union,TPMXN Talavera
10118,GM Financial,TPMXN Universidad
10119,Comcast,TPMXN Alpha
10120,Western Union,TPMXN Sierra
10121,Comcast,TPMXN Alpha
10122,GM Financial,TPMXN Universidad
10123,Comcast,TPMXN Alpha
10124,Chime Bank,TPMXN Cuauhtemoc
10124,Chime Bank,TPMXN Cuauhtemoc
10125,Alliance Data,TPMXN Nova
10126,Western Union,TPMXN Talavera
10127,Western Union,TPMXN Talavera
10128,Comcast,TPMXN Alpha
10129,Western Union,TPMXN Sierra
10130,GM Financial,TPMXN Universidad
10131,Alliance Data,TPMXN Nova
10132,Comcast,TPMXN Hacienda
10133,Comcast,TPMXN Hacienda
10134,Chime Bank,TPMXN Cuauhtemoc
