FolioSolicitud,Cliente_Name,Location_Name
9010,Alliance Data,TPMXN Nova
9011,Western Union,TPMXN Talavera
9012,Western Union,TPMXN Sierra
9013,Comcast,TPMXN Hacienda
9014,GM Financial,TPMXN Universidad
9015,Comcast,TPMXN Alpha
9016,Chime Bank,TPMXN Cuauhtemoc
9017,Western Union,TPMXN Sierra
9018,GrubHub,TPMXN Saguaro
9019,Comcast,TPMXN Hacienda
9020,Alliance Data,TPMXN Nova
9021,GrubHub,TPMXN Saguaro
9022,Comcast,TPMXN Alpha
9023,GM Financial,TPMXN Universidad
9024,Western Union,TPMXN Talavera
9025,Western Union,TPMXN Sierra
9026,Western Union,TPMXN Talavera
9027,Comcast,TPMXN Alpha
9028,GrubHub,TPMXN Saguaro
9029,GrubHub,TPMXN Saguaro
9030,GrubHub,TPMXN Saguaro
9031,Comcast,TPMXN Alpha
9032,Comcast,TPMXN Alpha
9033,Western Union,TPMXN Talavera
9034,Comcast,TPMXN Hacienda
9035,Alliance Data,TPMXN Nova
9036,GM Financial,TPMXN Universidad
9037,Alliance Data,TPMXN Nova
9038,Western Union,TPMXN Talavera
9039,Chime Bank,TPMXN Cuauhtemoc
9040,Comcast,TPMXN Hacienda
9041,Chime Bank,TPMXN Cuauhtemoc
9042,GM Financial,TPMXN Universidad
9043,Western Union,TPMXN Sierra
9044,Chime Bank,TPMXN Cuauhtemoc
9045,Alliance Data,TPMXN Nova
9046,Western Union,TPMXN Talavera
9047,Western Union,TPMXN Sierra
9048,Comcast,TPMXN Hacienda
9049,GM Financial,TPMXN Universidad
9050,Alliance Data,TPMXN Nova
9051,Chime Bank,TPMXN Cuauhtemoc
9052,Comcast,TPMXN Alpha
9053,Western Union,TPMXN Sierra
9054,Chime Bank,TPMXN Cuauhtemoc
9055,Comcast,TPMXN Hacienda
9056,GrubHub,TPMXN Saguaro
9057,Western Union,TPMXN Talavera
9058,GrubHub,TPMXN Saguaro
9059,Comcast,TPMXN Alpha
9060,Alliance Data,TPMXN Nova
9061,GM Financial,TPMXN Universidad
9062,Western Union,TPMXN Talavera
9063,Comcast,TPMXN Hacienda
9064,Comcast,TPMXN Alpha
9065,Western Union,TPMXN Sierra
9066,Western Union,TPMXN Sierra
9067,Western Union,TPMXN Talavera
9068,GrubHub,TPMXN Saguaro
9069,GrubHub,TPMXN Saguaro
9070,Comcast,TPMXN Alpha
9071,Comcast,TPMXN Alpha
9072,GrubHub,TPMXN Saguaro
9073,Western Union,TPMXN Talavera
9074,Chime Bank,TPMXN Cuauhtemoc
9075,Chime Bank,TPMXN Cuauhtemoc
9076,GM Financial,TPMXN Universidad
9077,Alliance Data,TPMXN Nova
9078,Western Union,TPMXN Talavera
9079,Comcast,TPMXN Hacienda
9080,Comcast,TPMXN Hacienda
9081,Western Union,TPMXN Sierra
9082,Alliance Data,TPMXN Nova
9083,Chime Bank,TPMXN Cuauhtemoc
9083,Chime Bank,TPMXN Cuauhtemoc
9084,GrubHub,TPMXN Saguaro
9085,Chime Bank,TPMXN Cuauhtemoc
9086,Western Union,TPMXN Sierra
9087,Western Union,TPMXN Sierra
9088,Comcast,TPMXN Alpha
9089,Alliance Data,TPMXN Nova
9090,Alliance Data,TPMXN Nova
9091,Chime Bank,TPMXN Cuauhtemoc
9092,GrubHub,TPMXN Saguaro
9093,Comcast,TPMXN Hacienda
9094,GM Financial,TPMXN Universidad
9095,GrubHub,TPMXN Saguaro
9096,Western Union,TPMXN Talavera
9097,Western Union,TPMXN Talavera
9098,Comcast,TPMXN Hacienda
9099,GrubHub,TPMXN Saguaro
9100,Alliance Data,TPMXN Nova
9101,Western Union,TPMXN Sierra
9102,Western Union,TPMXN Sierra
9103,Western Union,TPMXN Talavera
9104,Chime Bank,TPMXN Cuauhtemoc
9105,Comcast,TPMXN Alpha
9106,Chime Bank,TPMXN Cuauhtemoc
9107,Western Union,TPMXN Talavera
9108,Comcast,TPMXN Alpha
9109,Comcast,TPMXN Alpha
9110,GM Financial,TPMXN Universidad
9111,Comcast,TPMXN Hacienda
9112,Western Union,TPMXN Talavera
9113,Comcast,TPMXN Alpha
9114,GrubHub,TPMXN Saguaro
9115,GM Financial,TPMXN Universidad
9116,GM Financial,TPMXN Universidad
9117,Alliance Data,TPMXN Nova
9118,Western Union,TPMXN Sierra
9119,Western Union,TPMXN Sierra
9120,Western Union,TPMXN Sierra
9121,Chime Bank,TPMXN Cuauhtemoc
9122,GrubHub,TPMXN Saguaro
9123,Comcast,TPMXN Hacienda
9124,Comcast,TPMXN Hacienda
9125,Comcast,TPMXN Alpha
9126,Alliance Data,TPMXN Nova
9127,Chime Bank,TPMXN Cuauhtemoc
9128,Alliance Data,TPMXN Nova
9129,GrubHub,TPMXN Saguaro
9130,GrubHub,TPMXN Saguaro
9131,Western Union,TPMXN Talavera
9132,Chime Bank,TPMXN Cuauhtemoc
9132,Chime Bank,TPMXN Cuauhtemoc
9133,Alliance Data,TPMXN Nova
9134,Western Union,TPMXN Talavera
9135,Comcast,TPMXN Hacienda
9136,GM Financial,TPMXN Universidad
9137,GrubHub,TPMXN Saguaro
9138,Western Union,TPMXN Sierra
9139,Western Union,TPMXN Talavera
9140,Western Union,TPMXN Sierra
9141,Chime Bank,TPMXN Cuauhtemoc
9142,GM Financial,TPMXN Universidad
9143,Comcast,TPMXN Alpha
9144,Chime Bank,TPMXN Cuauhtemoc
9144,Chime Bank,TPMXN Cuauhtemoc
9145,GM Financial,TPMXN Universidad
9146,Western Union,TPMXN Talavera
9147,Comcast,TPMXN Alpha
9148,GM Financial,TPMXN Universidad
9149,GM Financial,TPMXN Universidad
9150,Comcast,TPMXN Hacienda
9151,Chime Bank,TPMXN Cuauhtemoc
9151,Chime Bank,TPMXN Cuauhtemoc
9152,Western Union,TPMXN Sierra
9153,Alliance Data,TPMXN Nova
9154,Western Union,TPMXN Sierra
9155,Western Union,TPMXN Sierra
9156,Western Union,TPMXN Talavera
9157,GrubHub,TPMXN Saguaro
9158,Alliance Data,TPMXN Nova
9159,Comcast,TPMXN Alpha
9160,GrubHub,TPMXN Saguaro
9161,Comcast,TPMXN Hacienda
9162,GrubHub,TPMXN Saguaro
9163,Chime Bank,TPMXN Cuauhtemoc
9164,Comcast,TPMXN Alpha
9165,Comcast,TPMXN Hacienda
9166,Comcast,TPMXN Alpha
9167,Western Union,TPMXN Talavera
9168,Western Union,TPMXN Talavera
9169,Alliance Data,TPMXN Nova
9170,Chime Bank,TPMXN Cuauhtemoc
9171,GrubHub,TPMXN Saguaro
9172,Alliance Data,TPMXN Nova
9173,Comcast,TPMXN Hacienda
9174,Alliance Data,TPMXN Nova
9175,Western Union,TPMXN Talavera
9176,GM Financial,TPMXN Universidad
9177,GrubHub,TPMXN Saguaro
9178,Western Union,TPMXN Sierra
9179,Western Union,TPMXN Sierra
9180,Chime Bank,TPMXN Cuauhtemoc
9181,Chime Bank,TPMXN Cuauhtemoc
9181,Chime Bank,TPMXN Cuauhtemoc
9182,Comcast,TPMXN Hacienda
9183,Western Union,TPMXN Talavera
9184,Western Union,TPMXN Talavera
9185,Comcast,TPMXN Alpha
9186,GM Financial,TPMXN Universidad
9187,GM Financial,TPMXN Universidad
9188,Western Union,TPMXN Sierra
9189,Western Union,TPMXN Sierra
9190,Chime Bank,TPMXN Cuauhtemoc
9191,Western Union,TPMXN Sierra
9192,GrubHub,TPMXN Saguaro
9193,GrubHub,TPMXN Saguaro
9194,Comcast,TPMXN Alpha
9195,GrubHub,TPMXN Saguaro
9196,Alliance Data,TPMXN Nova
9197,GM Financial,TPMXN Universidad
9198,Chime Bank,TPMXN Cuauhtemoc
9199,Comcast,TPMXN Hacienda
9200,Western Union,TPMXN Talavera
9201,Comcast,TPMXN Alpha
9202,Western Union,TPMXN Talavera
9203,Comcast,TPMXN Hacienda
9204,Comcast,TPMXN Alpha
9205,GrubHub,TPMXN Saguaro
9206,Alliance Data,TPMXN Nova
9207,Western Union,TPMXN Talavera
9208,Alliance Data,TPMXN Nova
9209,Comcast,TPMXN Alpha
9210,Western Union,TPMXN Sierra
9211,Comcast,TPMXN Hacienda
9212,Alliance Data,TPMXN Nova
9213,GM Financial,TPMXN Universidad
9214,Alliance Data,TPMXN Nova
9215,GrubHub,TPMXN Saguaro
9216,Western Union,TPMXN Talavera
9217,Western Union,TPMXN Sierra
9218,Chime Bank,TPMXN Cuauhtemoc
9219,Chime Bank,TPMXN Cuauhtemoc
9220,Western Union,TPMXN Sierra
9221,Chime Bank,TPMXN Cuauhtemoc
9222,Comcast,TPMXN Alpha
9223,GrubHub,TPMXN Saguaro
9224,Comcast,TPMXN Hacienda
9225,GrubHub,TPMXN Saguaro
9226,Western Union,TPMXN Sierra
9227,Chime Bank,TPMXN Cuauhtemoc
9228,Western Union,TPMXN Talavera
9229,GrubHub,TPMXN Saguaro
9230,Comcast,TPMXN Hacienda
9231,GM Financial,TPMXN Universidad
9232,GM Financial,TPMXN Universidad
9233,GM Financial,TPMXN Universidad
9234,Western Union,TPMXN Sierra
9235,Alliance Data,TPMXN Nova
9236,Chime Bank,TPMXN Cuauhtemoc
9237,GM Financial,TPMXN Universidad
9238,Western Union,TPMXN Talavera
9239,GrubHub,TPMXN Saguaro
9240,Western Union,TPMXN Talavera
9241,Comcast,TPMXN Alpha
9242,Comcast,TPMXN Alpha
9243,Alliance Data,TPMXN Nova
9244,Western Union,TPMXN Talavera
9245,Western Union,TPMXN Sierra
9246,Comcast,TPMXN Alpha
9247,GrubHub,TPMXN Saguaro
9248,Alliance Data,TPMXN Nova
9249,Comcast,TPMXN Hacienda
9250,Alliance Data,TPMXN Nova
9251,Comcast,TPMXN Alpha
9252,Chime Bank,TPMXN Cuauhtemoc
9253,Western Union,TPMXN Sierra
9254,Comcast,TPMXN Hacienda
9255,Comcast,TPMXN Hacienda
9256,Western Union,TPMXN Talavera
9257,Western Union,TPMXN Talavera
9258,Chime Bank,TPMXN Cuauhtemoc
9259,GrubHub,TPMXN Saguaro
9260,Western Union,TPMXN Sierra
9261,Comcast,TPMXN Alpha
9262,Western Union,TPMXN Sierra
9263,Chime Bank,TPMXN Cuauhtemoc
9264,Chime Bank,TPMXN Cuauhtemoc
9265,Alliance Data,TPMXN Nova
9266,GrubHub,TPMXN Saguaro
9267,Chime Bank,TPMXN Cuauhtemoc
9267,Chime Bank,TPMXN Cuauhtemoc
9268,Western Union,TPMXN Sierra
9269,GrubHub,TPMXN Saguaro
9270,Western Union,TPMXN Talavera
9271,Comcast,TPMXN Hacienda
9272,Alliance Data,TPMXN Nova
9273,Western Union,TPMXN Talavera
9274,Western Union,TPMXN Talavera
9275,GM Financial,TPMXN Universidad
9276,GrubHub,TPMXN Saguaro
9277,Western Union,TPMXN Sierra
9278,GM Financial,TPMXN Universidad
9279,GM Financial,TPMXN Universidad
9280,GrubHub,TPMXN Saguaro
9281,Comcast,TPMXN Alpha
9282,Western Union,TPMXN Talavera
9283,Chime Bank,TPMXN Cuauhtemoc
9284,Comcast,TPMXN Alpha
9285,Comcast,TPMXN Hacienda
9286,Western Union,TPMXN Talavera
9287,Comcast,TPMXN Alpha
9288,Alliance Data,TPMXN Nova
9289,Western Union,TPMXN Sierra
9290,Comcast,TPMXN Alpha
9291,Comcast,TPMXN Hacienda
9292,GM Financial,TPMXN Universidad
9293,Western Union,TPMXN Sierra
9294,GrubHub,TPMXN Saguaro
9295,Comcast,TPMXN Hacienda
9296,Chime Bank,TPMXN Cuauhtemoc
9297,Comcast,TPMXN Alpha
9298,Alliance Data,TPMXN Nova
9299,Western Union,TPMXN Sierra
9300,Alliance Data,TPMXN Nova
9301,Chime Bank,TPMXN Cuauhtemoc
9302,Comcast,TPMXN Hacienda
9303,GrubHub,TPMXN Saguaro
9304,Chime Bank,TPMXN Cuauhtemoc
9305,GM Financial,TPMXN Universidad
9306,Western Union,TPMXN Sierra
9307,Alliance Data,TPMXN Nova
9308,Western Union,TPMXN Talavera
9309,GrubHub,TPMXN Saguaro
9310,Western Union,TPMXN Talavera
9311,Western Union,TPMXN Talavera
9312,Alliance Data,TPMXN Nova
9313,Western Union,TPMXN Talavera
9314,Chime Bank,TPMXN Cuauhtemoc
9315,GM Financial,TPMXN Universidad
9316,Comcast,TPMXN Hacienda
9317,GrubHub,TPMXN Saguaro
9318,GM Financial,TPMXN Universidad
9319,Western Union,TPMXN Sierra
9320,Western Union,TPMXN Talavera
9321,Western Union,TPMXN Sierra
9322,GrubHub,TPMXN Saguaro
9323,Chime Bank,TPMXN Cuauhtemoc
9323,Chime Bank,TPMXN Cuauhtemoc
9324,Comcast,TPMXN Alpha
9325,GrubHub,TPMXN Saguaro
9326,Chime Bank,TPMXN Cuauhtemoc
9327,Alliance Data,TPMXN Nova
9328,Comcast,TPMXN Alpha
9329,Comcast,TPMXN Alpha
9330,Comcast,TPMXN Hacienda
9331,Comcast,TPMXN Hacienda
9332,Alliance Data,TPMXN Nova
9333,Comcast,TPMXN Alpha
9334,Comcast,TPMXN Alpha
9335,Alliance Data,TPMXN Nova
9336,Chime Bank,TPMXN Cuauhtemoc
9336,Chime Bank,TPMXN Cuauhtemoc
9337,GM Financial,TPMXN Universidad
9338,Western Union,TPMXN Sierra
9339,Western Union,TPMXN Sierra
9340,GrubHub,TPMXN Saguaro
9341,GM Financial,TPMXN Universidad
9342,Chime Bank,TPMXN Cuauhtemoc
9342,Chime Bank,TPMXN Cuauhtemoc
9343,Comcast,TPMXN Hacienda
9344,Comcast,TPMXN Hacienda
9345,Western Union,TPMXN Sierra
9346,Comcast,TPMXN Hacienda
9347,Western Union,TPMXN Talavera
9348,Western Union,TPMXN Talavera
9349,Chime Bank,TPMXN Cuauhtemoc
9350,GM Financial,TPMXN Universidad
9351,Alliance Data,TPMXN Nova
9352,Alliance Data,TPMXN Nova
9353,GM Financial,TPMXN Universidad
9354,GrubHub,TPMXN Saguaro
9355,GM Financial,TPMXN Universidad
9356,Western Union,TPMXN Talavera
9357,Western Union,TPMXN Talavera
9358,Western Union,TPMXN Talavera
9359,GrubHub,TPMXN Saguaro
9360,GrubHub,TPMXN Saguaro
9361,Western Union,TPMXN Sierra
9362,Western Union,TPMXN Sierra
9363,GrubHub,TPMXN Saguaro
9364,Comcast,TPMXN Alpha
9365,Chime Bank,TPMXN Cuauhtemoc
9366,Alliance Data,TPMXN Nova
9367,Western Union,TPMXN Sierra
9368,Chime Bank,TPMXN Cuauhtemoc
9368,Chime Bank,TPMXN Cuauhtemoc
9369,GM Financial,TPMXN Universidad
9370,Comcast,TPMXN Alpha
9371,Comcast,TPMXN Hacienda
9372,Chime Bank,TPMXN Cuauhtemoc
9373,Chime Bank,TPMXN Cuauhtemoc
9374,Comcast,TPMXN Hacienda
9375,GrubHub,TPMXN Saguaro
9376,Comcast,TPMXN Alpha
9377,Comcast,TPMXN Alpha
9378,Western Union,TPMXN Talavera
9379,Western Union,TPMXN Talavera
9380,Alliance Data,TPMXN Nova
9381,Alliance Data,TPMXN Nova
9382,Western Union,TPMXN Talavera
9383,GM Financial,TPMXN Universidad
9384,Western Union,TPMXN Talavera
9385,Chime Bank,TPMXN Cuauhtemoc
9386,Comcast,TPMXN Alpha
9387,Western Union,TPMXN Sierra
9388,Western Union,TPMXN Sierra
9389,Western Union,TPMXN Talavera
9390,GM Financial,TPMXN Universidad
9391,GrubHub,TPMXN Saguaro
9392,Alliance Data,TPMXN Nova
9393,Western Union,TPMXN Sierra
9394,Western Union,TPMXN Sierra
9395,GrubHub,TPMXN Saguaro
9396,Alliance Data,TPMXN Nova
9397,GrubHub,TPMXN Saguaro
9398,Comcast,TPMXN Hacienda
9399,GrubHub,TPMXN Saguaro
9400,Comcast,TPMXN Hacienda
